locus_tag	kegg_pathway_id	kegg_pathway	organism
spr1829	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1833	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1837	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1841	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1842	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1844	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1845	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1846	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1847	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1848	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1849	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1854	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1866	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1867	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1878	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1881	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1882	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1903	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1905	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1906	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1907	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1909	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1916	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1917	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1935	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1936	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1937	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1938	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1939	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1949	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1957	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1958	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1964	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1967	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1968	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1970	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1972	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1973	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1980	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1982	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr1991	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr2015	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr2027	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr2033	spr01100	Metabolic pathways	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0011	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0028	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0035	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0037	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0038	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0045	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0046	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0047	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0048	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0049	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0051	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0052	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0053	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
spr0054	spr01110	Biosynthesis of secondary metabolites	Streptococcus pneumoniae ATCC BAA-255 / R6
